label;client;contexte;url;id
Allô, place Beauvau ?;Médiapart;WDD;https://www.mediapart.fr/studio/panoramique/allo-place-beauvau-cest-pour-un-bilan;1
À data sur la politique;Les Jours;WDD;https://lesjours.fr/obsessions/data-politique/;2
Votez autrement;Slate;WDD;http://www.slate.fr/story/127232/vote-primaire-de-droite;3
Extrapol;Wedodata;WDD;http://extrapol.fr/;4
Sur la piste de œuvres antiques;institut national d'histoire de l'art;WDD;https://ventesdantiques.inha.fr/;5
Le Prix de la Démocratie;Julia Cagé;WDD;http://leprixdelademocratie.com/;6
Le budget des ménages;Institut des politiques publiques;WDD;http://budget.ipp.eu/;7
Média polarisation à la française;Institut Montaigne;WDD;https://www.institutmontaigne.org/publications/media-polarization-la-francaise;8
Plan spatial de Djibouti;Fondation Cousteau;WDD;http://msp.cousteau.org/djibouti/;9
Observatoire des arts de rue;Circostrada;WDD;https://data.circostrada.org/en/ecosystem/;10
Le Gentrificateur;Wedodata;WDD;http://lab.wedodata.fr/gentrificateur/;11
Nouvelle politique arabe pour la France;Institut Montaigne;WDD;http://www.institutmontaigne.org/publications/nouveau-monde-arabe-nouvelle-politique-arabe-pour-la-france;12
Frise historiques interactives;Nathan;WDD;http://frise-histoire-2019.nathan.fr/;13
22 projets pour le Sahel;Agence française de développement;WDD;https://sahel-expo.afd.wedodata.dev/;14
Explorateur données de valeurs foncières;data.gouv.fr;Free;https://explore.data.gouv.fr/immobilier;21
Tableau de bord Covid19;data.gouv.fr;Free;https://github.com/etalab/covid19-dashboard-widgets;16
Atlas du numérique;Presses de Sciences Po;Free;https://www.pressesdesciencespo.fr/fr/book/?GCOI=27246100226120/;20
Les bombes climatiques de Total;Reporterre;Free;https://reporterre.net/TotalEnergies-la-carte-exclusive-des-projets-qui-vont-faire-flamber-le-climat;22
Comparateur de programmes climat;Reporterre;Free;https://reporterre.net/Infographie-que-proposent-les-candidats-pour-le-climat;18
Le bilan écologique de Macron;Reporterre;Free;https://reporterre.net/Le-bilan-ecologique-de-Macron-89-mesures-negatives-depuis-2017;15
Géographie des dons politiques;Julia Cagé;Free;https://juliacage.com/explorez-les-cartes-des-dons-politiques/;19
Sea'ties;Ocean & Climate;Free;https://seaties.ocean-climate.org/;17